address,weight
0x0103a4966daba5a947df52b0B892d8b3fdEF5A4F,200.0
0x010e5a1E69378E8fEe6C040f587c94423aDD0727,25.0
0x0115F5Ce3f986A35b1eDB6f2c3815CeBB2461e70,25.0
0x012f11883b03d2C6C56706caE752343396bdD72b,50.0
0x014271685FAd6bDEA39B6aA739878fa8BBfd4907,50.0
0x0147c33c1cE3C63D930cD3DF1e634daa60a91B30,25.0
0x01489713A676911d5f8937E8CF822C2207990534,25.0
0x0154d25120Ed20A516fE43991702e7463c5A6F6e,200.0
0x015812A00cEF0020DC9ab6db1e2819CedA6146d7,25.0
0x0159Dfc1C745Dc4B10d42d2592335120F1F2D778,200.0
0x01720Deb4f2c81e954f125c8431c2838dAe4CaAA,25.0
0x0172622734bbc8c425127B107b5e9F615408DE2c,25.0
0x01732178fE9411f1b46B526e5D52ed958Ac0027E,200.0
0x017Bf03bBf90dd7AC29A7aBe3437F5EE9CA1e356,200.0
0x017E019D6344B47854635Ee87f728831260c87b5,10.0
0x017eB7F0a942B30F9A3680990D769a20b32217bd,50.0
0x01821BE88FCF2b919D1095696A9677B2bd8c2eAe,25.0
0x018AFEbCb9200FBad2e4CDbEAe256DF7dCA010C0,25.0
0x018d2817793de8afD7e80f469eEf25216ab5F0CF,50.0
0x0195Da053aBc9771FFA6DB02F3c5ca4B8BeaD109,25.0
0x019CdFD2a70DD4B899F330877752eDfDa5bD34c4,50.0
0x01A3EeEe00843D0B6bA3a8519536cB6a08cB5393,25.0
0x01A5860E098862621D7Aa3803C329c2Eb9AE086B,200.0
0x01Ab5881863f50CbECA953dc17a8c8842Ab68d34,25.0
0x01Adb5a14196D302004E3A1970a8bB3183dd2565,75.0
0x01C410c2681dE44521076578dDEff542d85E433C,25.0
0x01C50F5Cc27135671692Ea874d29bEaa43a71d82,25.0
0x01CB883Da543bd8409A9984463B8aB3ae3d2eCD4,25.0
0x01Cf9fD2efa5Fdf178bd635c3E2adF25B2052712,25.0
0x01D2926Bd27A0A67cb5021aa66375b02F1003748,25.0
0x01DE76C2130bf615298B90c0e74FA011b866D6ea,25.0
0x01DcfC59390E70397489580DEB99729D5146ACB2,25.0
0x01E5d631ba707a029C8A1555bDAc4805d7853E21,25.0
0x01Eda16F6A6C3B051eCC63B0d93c8c3A27491dC2,50.0
0x01bF61e1bCBfb54a0cdb6C41f5457EC08B997872,10.0
0x01e09581B0DEE63Bcc16e8DC823cb93DBD5E6F29,50.0
0x01e6fd0aE73D9194b19f9B376065577927A0D5f5,200.0
0x01eaCf1D1cCF7F656FDA1B95BeaFdb3C7fC396A7,50.0
0x01eacADF51FF60916157E32A58F640fe854e530F,50.0
0x01f10495f16c0e85C26121A891Dd92FF3BD02da8,25.0
0x01f8062e62e666B907C1592C3920E9E33B79D7f0,25.0
0x02087C01cceF6a6EeCbf6c6918302d3290A021eD,25.0
0x020EB226e93362D1304BC97A3dD07231B1Cdf097,50.0
0x021c1a1cE318E7B4545f6280b248062592B71706,200.0
0x021ebB6617Ee185f3692cFF28307DeA881eB7262,25.0
0x0226A73230a4B76c739227E4A5527A75245A7981,25.0
0x022d82Abb4ef42b0721ecB77AC8Cf84B2Ee77877,25.0
0x022f8c39B6B37027374FB8C306056bb49162028F,50.0
0x023C79BcF60aC8087b80bE428cbb8B1fa7Db4Fcd,25.0
0x023edB89971EafE7048Ec5ee36489EcBf97D7Ea2,25.0
0x024336Ae03AB34351DE0D0e52B04648a3A00FDFC,200.0
0x0246313abE2333dDb9e899067cf8cd16901b2a3A,50.0
0x0246b0a279Dd8466EcBA9b3b0aF5F51076763e09,25.0
0x024B84E6F214Ce7b56cd20742C54cC352d11298c,200.0
0x024BCbCAad82E67F721799E259ca60bc7d363419,200.0
0x024C90E89d8840E6337C88F1F07A567CF5a42F6d,25.0
0x0252d89c8781b88858d5A2dbb8b9CF613f84917D,50.0
0x02531e97068B4B74F252D0B38B5F699904e6fE2b,50.0
0x02675DFA4d4D6B3fB7d04E0c8aD000eFf752bd89,200.0
0x027090f33876291F05833029611dD9932471afa2,25.0
0x0270CeD117Be0eCc0F258Ba392FCF7F287d24Ce1,25.0
0x02758FBC0bb97A57D93351981E4E2eeC47a4a921,25.0
0x0276E6D1298e61851AbA7F779C67894895176690,25.0
0x027Ad405AFDaEF6820463460d896ED0A3bbC22e1,25.0
0x0285590EF8C67938E0c622cbF1D2DCcd110F1efE,200.0
0x028B2b9adCa1BD1263086b0B221713A684968817,200.0
0x028Bd1E65B25CA2fBAa177b5d2c3257142C1FE8e,25.0
0x029246518CF42f209B5fED50067D7F10C1188A1B,25.0
0x0294EbebF5Cdb1f96cDBdA014b25AC0E95AefDca,200.0
0x029A26F0f17f5E7f58c7C9C765077159Fa404C1c,25.0
0x029Acdbe5404114088b0824803FD04a7B9ee33A2,25.0
0x029Db8F5BC790Bae2148d314E7D21De24e67F1C7,25.0
0x029F1c62662CbBfe79CE55B285FeE4E2db081a06,25.0
0x029d347262fe91060886FA4b33322e569Da03c52,25.0
0x02B671e271CA9E1c1c01200C64E86D005A3f07d6,25.0
0x02E6E09a0dF9E8c056c4BaE2f9883651B17fDB4B,50.0
0x02E7b714fae84e4BA80f3CDa5508553e7CF5042A,50.0
0x02EC1b39Bb5f3b329583f893838Bfabb7Ed778F8,200.0
0x02F90757814A20d96D687d2C7C2fA8503e2cfa36,25.0
0x02FE842B7A312301ef02e4A82352f9a97a813DFb,200.0
0x02a84163763Dd791328765b96aed43b6a915af48,50.0
0x02b40AfE15222F4d82149b296E21aBaC38393DDf,25.0
0x02b6bD2420cCADC38726BD34BB7f5c52B3F4F3ff,200.0
0x02b7F345699b476F176aD334Bdad9A4a0ab0dBa0,25.0
0x02cE0DDcBf374960FF78A8a42603ec8aA01baA0f,10.0
0x02cb7a0740a274D0B3f5e114803be623eC696AB6,25.0
0x02d233b65f800549D4e849909598066dccf5ecB3,25.0
0x02dE1EbA79a13Cb2e98ce192d4F8bAF973c0e662,25.0
0x02dEdF54f8DD2a86f1871dE4ceA0b9a89a5C848D,200.0
0x02deC55491A00e3Be4B8453d40cF6EDda7BECE46,25.0
0x02e1A5817ABf2812f04c744927FC91F03099C0f4,200.0
0x02eB66171AA8F78f3e0E6020A816F30A17E006dB,50.0
0x02eD9b4cf1C463B6BACFCF184E15cbE5E49FC47a,35.0
0x02f4F3130D02314A16DC81E040A2AA32C8a2b16a,50.0
0x031B8ece36b2C1f14C870421A1989AEbe3d7bcFa,50.0
0x0320E2787d5c62a4A81F219DfB3C5ABdF6265362,50.0
0x0331D52F47b0B5b63B9f903227e4C13f3B37312C,200.0
0x0331E435148481A32877c500DC1c0Edb9153488C,25.0
0x033E755b89942C896e9D7d4f9E9078a31c1c8d0B,50.0
0x0340af84322E83ae445c375C10A6ac90989B85f6,50.0
0x03452486f10344Aeb8bc1AB7457E5a9bE613BD56,50.0
0x0345Bc8EDdbba03E11e366cFb4E2b232b8f1b739,25.0
0x034A984A8A32Df88f2bAFeF41f656AA767aBb613,200.0
0x034b8fdEc718C4F6dD9D13525c496aedC78f3Aa8,200.0
0x0354Ee22F2715bcDe3C5B50B8f3c5594b2Ed7C6f,25.0
0x0355fe661434e6F3B95Abeb2eA72d073Ab749405,25.0
0x035cEb21C467f15E62E95b6e4eE7e0e6d6cE9B7A,50.0
0x0368d1d91dA5DA28db9B1bB82819f444C018f03A,10.0
0x036DBBD11Bf2958377e459Cb75fec9BB9944785a,25.0
0x036E0BE744a12Cf1d2c290e4447c920f7517A7d0,200.0
0x036c494B7eEe3F132E15DB6C0Cc2D5Fe793362ba,25.0
0x03719ee8F7CEE79BE9B467bCd82F882DE428BCbb,200.0
0x03739f52Ab1bd514682C6E21de70e06A676920F0,200.0
0x037cDD64F9b2E00fc6B7a1aA3E6152AFF8718540,50.0
0x037ce225946FC6b419e768aBc7e5f03356Bb887b,200.0
0x037dFD569DeFBC08aE28001159b4c49f6d006cfF,25.0
0x0384Ce7aE99c5fd365451bBAe07fb80e55e48e4F,50.0
0x038919c63AfF9c932C77a0C9c9D98eABc1a4dd08,50.0
0x038940914C3d3c945A554318C96173dFb0eCF3Bd,200.0
0x038FdAa8f729E55f7e32aFE61eE2f25D0a8B8b05,25.0
0x0392c0D81934B52f64aA50C2cFbbcf28cd6141b2,200.0
0x0396Dd6aCc42cE2f0733e2E6FeD7cD157ec930C1,200.0
0x0396E7A8C8765c72cD98274E133169d180CD7324,25.0
0x039B3d5d7a26e79D997516CDa017EE231251Bd6A,50.0
0x03B69Bacb4aF22CE577510329807116d57a55D8d,25.0
0x03CDC580e7dE9d805483773CD73F00e9c6b2D0a0,25.0
0x03Edd76C30398a47B61857138D1197Cad32Db02f,50.0
0x03Eeb4BE3c4e65bd52b641feb4504cc76282565c,25.0
0x03F0EA2B3DbeB25CB502D4A33DE8c32a95f4fAA3,50.0
0x03F248a8335E2c649443BD1482E15Aae3028D772,25.0
0x03FfdB95D3eE7F7b796069867E55CF6fdB65472C,25.0
0x03a2951e297E12b06D309C9165FeE2D7ED6F2cF5,25.0
0x03bAda9FF1Cf0D0264664B43977ED08fEee32584,50.0
0x03bECAc19C3F5d199C721053b4215BFceB8b2743,25.0
0x03db49094b8F01949c80C185F1de9D662621F40a,25.0
